timestamp,miners-revenue
1658188800000,19972141.1063353
1658275200000,19141473.222768992
1658361600000,20768206.558513064
1658448000000,19591278.209783014
1658534400000,21918540.32658128
1658620800000,22447659.673061103
1658707200000,20068081.035220552
1658793600000,21346601.625572704
1658880000000,22439607.328241665
1658966400000,21195787.991195064
1659052800000,22164587.54094538
1659139200000,19669633.42707722
1659225600000,22797365.361192845
1659312000000,20057094.21660737
1659398400000,22887535.789081786
1659484800000,21334680.69864296
1659571200000,19247521.080682665
1659657600000,22040552.556791432
1659744000000,23640706.63329386
1659830400000,23450786.345573593
1659916800000,22072627.08704081
1660003200000,21500771.45078992
1660089600000,22048657.032706514
1660176000000,21798985.531577673
1660262400000,23487535.54544685
1660348800000,21597981.286947653
1660435200000,20561929.591036644
1660521600000,22246761.581903826
1660608000000,22451185.11887194
1660694400000,19823143.47206977
1660780800000,21426691.80720861
1660867200000,24646037.773745745
1660953600000,19906048.078724258
1661040000000,19658711.446938902
1661126400000,20049502.855463784
1661212800000,23241671.09599258
1661299200000,19789812.78474593
1661385600000,21711435.8619223
1661472000000,23607458.78269579
1661558400000,18417353.539063282
1661644800000,20531551.535323694
1661731200000,19815545.48503768
1661817600000,20898311.567606837
1661904000000,18973801.675528973
1661990400000,17519322.333246782
1662076800000,16573004.97125154
1662163200000,18503841.810108278
1662249600000,21001414.01336134
1662336000000,19217857.628245473
1662422400000,17711313.57191243
1662508800000,17522524.6768538
1662595200000,15580902.145009369
1662681600000,19406879.308704853
1662768000000,21254611.329074144
1662854400000,25190836.06469254
1662940800000,21457966.189803272
1663027200000,18880378.13599022
1663113600000,16390122.367911555
1663200000000,18722547.16017402
1663286400000,16155813.96987422
1663372800000,22046267.351943973
1663459200000,19614731.42557514
1663545600000,15916507.708788954
1663632000000,18547287.27541817
1663718400000,17044371.760123417
1663804800000,15405709.406264087
1663891200000,16388196.049952148
1663977600000,17641158.57969013
1664064000000,18123081.63232435
1664150400000,18586164.0791014
1664236800000,16499416.47586462
1664323200000,18194817.839215636
1664409600000,17625877.85463125
1664496000000,20961626.892611515
1664582400000,22356100.356481753
1664668800000,19049496.73083795
1664755200000,18822692.57300482
1664841600000,20497223.57467133
1664928000000,22220525.211607706
1665014400000,20238932.999599468
1665100800000,21329735.82923857
1665187200000,21693311.538908795
1665273600000,19801812.92339956
1665360000000,20456350.29360484
1665446400000,19592269.926100034
1665532800000,16543247.306288254
1665619200000,17339850.420349475
1665705600000,19349674.895805754
1665792000000,18603429.731474027
1665878400000,17640377.301598247
1665964800000,18438405.724884216
1666051200000,17605946.973579727
1666137600000,18709672.39499181
1666224000000,17832142.511155218
1666310400000,18823653.62509549
1666396800000,16486650.382671941
1666483200000,18817002.899194233
1666569600000,16704131.75423753
1666656000000,15262936.713037344
1666742400000,20391787.49715678
1666828800000,17781054.472137854
1666915200000,20657842.562491424
1667001600000,18889102.554937232
1667088000000,17765496.375039846
1667174400000,22491183.834946454
1667260800000,19035680.24022811
1667347200000,15923465.095997136
1667433600000,21427249.233947724
1667520000000,17095479.28911212
1667606400000,20477935.245340105
1667692800000,18479805.99848374
1667779200000,19052783.19726433
1667865600000,20378818.583838027
1667952000000,16756916.904897429
1668038400000,15963715.774192441
1668124800000,14900952.885684296
1668211200000,17874099.03663277
1668297600000,13715309.636890972
1668384000000,13223056.11507164
1668470400000,16924308.163784713
1668556800000,16237808.609929381
1668643200000,15097004.518378556
1668729600000,15266118.620391032
1668816000000,15732345.425249888
1668902400000,15982750.015998334
1668988800000,13533870.26017263
1669075200000,12966806.15387219
1669161600000,15202435.491253067
1669248000000,13846331.44830637
1669334400000,13127718.390905542
1669420800000,11674337.0162286
1669507200000,14358617.123247962
1669593600000,14875224.88563531
1669680000000,13816257.51734792
1669766400000,15034912.97575721
1669852800000,17271537.924430106
1669939200000,13741034.339038419
1670025600000,14299138.04252222
1670112000000,15184340.833291633
1670198400000,16039165.975407021
1670284800000,14725089.485199377
1670371200000,18475685.995101217
1670457600000,17938099.11542059
1670544000000,16800417.04720075
1670630400000,17384313.195406716
1670716800000,15911653.689838963
1670803200000,15426960.975362785
1670889600000,18300370.852563936
1670976000000,16824168.350794345
1671062400000,15628685.822634194
1671148800000,14457172.527777765
1671235200000,15352368.055325923
1671321600000,15369367.34579528
1671408000000,14497991.473721288
1671494400000,15203920.126164537
1671580800000,15330046.709449464
1671667200000,14445678.738210894
1671753600000,14192911.730580632
1671840000000,9886179.74795384
1671926400000,15073742.939776683
1672012800000,14104102.296292609
1672099200000,12489766.06688427
1672185600000,17844731.47947442
1672272000000,14977089.738394096
1672358400000,16715350.712628447
1672444800000,16375895.467673866
1672531200000,16173353.596591791
1672617600000,16447340.744624749
1672704000000,16511361.794084923
1672790400000,15514421.553151188
1672876800000,17190903.00793761
1672963200000,19587656.115701865
1673049600000,16669607.643204877
1673136000000,16331614.696256422
1673222400000,16568165.610140678
1673308800000,18671443.668399256
1673395200000,16247214.47177786
1673481600000,17645261.628721908
1673568000000,19299222.303412113
1673654400000,22543151.069033355
1673740800000,21360708.697110046
1673827200000,19564851.90352845
1673913600000,20950317.645466994
1674000000000,19114033.153556455
1674086400000,19225531.967102878
1674172800000,18240061.154305376
1674259200000,20109654.849325083
1674345600000,21838359.94420077
1674432000000,22867527.707946565
1674518400000,18918440.50491401
1674604800000,25676773.61340148
1674691200000,22624571.705655094
1674777600000,22429274.151801877
1674864000000,24442485.75123782
1674950400000,23801445.138934355
1675036800000,20350898.923218135
1675123200000,16954037.602669094
1675209600000,20346134.427086793
1675296000000,22100256.867046896
1675382400000,20380037.06304123
1675468800000,20355870.134656116
1675555200000,22388253.779740416
1675641600000,21621117.121486917
1675728000000,21204357.623230755
1675814400000,20351657.38350813
1675900800000,23332309.14710399
1675987200000,20573391.75123331
1676073600000,20695417.561901353
1676160000000,22415712.264169145
1676246400000,21667418.164248344
1676332800000,21647341.400688175
1676419200000,23873321.525806885
1676505600000,28291380.22294443
1676592000000,25714299.92522733
1676678400000,26343409.639495973
1676764800000,25635697.747482333
1676851200000,24027013.111182638
1676937600000,26512359.26103933
1677024000000,21468764.329053212
1677110400000,26565544.355084326
1677196800000,20417436.704952147
1677283200000,16083980.15403232
1677369600000,24782400.469027933
1677456000000,21360913.713135105
1677542400000,20630776.02077309
1677628800000,25988722.583811883
1677715200000,21657536.22815396
1677801600000,24203335.93106573
1677888000000,21944599.480469976
1677974400000,22389334.56458218
1678060800000,19320752.866531476
1678147200000,23616222.72450257
1678233600000,18928979.35012383
1678320000000,19039458.643895354
1678406400000,17894803.56988819
1678492800000,21477230.284296937
1678579200000,21186496.49970484
1678665600000,23087128.98074996
1678752000000,23955889.051380202
1678838400000,23485522.6442761
1678924800000,21513991.934607737
1679011200000,25280852.552496247
1679097600000,28644944.5912276
1679184000000,26477878.719646867
1679270400000,27627804.86632807
1679356800000,26497064.86479075
1679443200000,29225710.419680897
1679529600000,34269759.33971421
1679616000000,29533422.016249567
1679702400000,25755315.778535493
1679788800000,25539403.027980726
1679875200000,26143030.485642947
1679961600000,23379336.215017386
1680048000000,26591193.533266988
1680134400000,28612052.69058096
1680220800000,25754269.689730845
1680307200000,25771404.496490154
1680393600000,27387521.07343141
1680480000000,23697637.145516127
1680566400000,29712370.380244203
1680652800000,25533999.319590658
1680739200000,29988656.93568959
1680825600000,25883474.596045014
1680912000000,26655771.28270032
1680998400000,25984841.21278582
1681084800000,22540478.67849652
1681171200000,30278886.883851
1681257600000,30739675.958873477
1681344000000,27603326.707211237
1681430400000,27977114.940560613
1681516800000,31009798.333244104
1681603200000,23967480.70486132
1681689600000,29788462.913373288
1681776000000,31642501.63757007
1681862400000,26367118.299820937
1681948800000,24467944.962969966
1682035200000,26017667.261768978
1682121600000,25972883.28916762
1682208000000,25740162.140966076
1682294400000,25151563.91860913
1682380800000,22252108.61633086
1682467200000,24384973.37872218
1682553600000,25220465.91221518
1682640000000,28310744.88306382
1682726400000,26352027.404240478
1682812800000,28548026.97705134
1682899200000,35120914.85198403
1682985600000,26436400.048662677
1683072000000,28706505.872158974
1683158400000,29770202.04218574
1683244800000,25724804.124775995
1683331200000,32521180.410668414
1683417600000,36809638.64957858
1683504000000,41744197.067098685
1683590400000,38255911.8781401
1683676800000,38971069.437675245
1683763200000,31079349.01717088
1683849600000,27932158.246966116
1683936000000,27237496.705574512
1684022400000,31630058.255630765
1684108800000,27603389.649954077
1684195200000,30101350.309985295
1684281600000,29549110.27574375
1684368000000,26859030.9345914
1684454400000,28738962.120203372
1684540800000,24375940.640033692
1684627200000,27415847.9731961
1684713600000,26059060.50144273
1684800000000,28129493.496464286
1684886400000,25204426.061596133
1684972800000,27253825.798840698
1685059200000,28022067.177655425
1685145600000,25895617.414968994
1685232000000,29018379.77947518
1685318400000,30580345.092994474
1685404800000,28992477.242635764
1685491200000,25853003.322265837
1685577600000,24808640.12866411
1685664000000,30128726.13526578
1685750400000,23625499.65267871
1685836800000,26178919.49258366
1685923200000,24355694.08839815
1686009600000,27031043.478327114
1686096000000,25121515.433733575
1686182400000,27695869.968815308
1686268800000,30334803.515606057
1686355200000,26188014.77306707
1686441600000,27237566.629978757
1686528000000,26511537.377856184
1686614400000,24857915.761624184
1686700800000,20934320.22248748
1686787200000,24289275.439930815
1686873600000,25815640.766585577
1686960000000,24576941.293343797
1687046400000,25864498.312777586
1687132800000,24358877.690667883
1687219200000,24496915.027535625
1687305600000,23415578.90437153
1687392000000,27140370.526518404
1687478400000,25333271.066190463
1687564800000,29007262.104907636
1687651200000,30195817.85050738
1687737600000,29036935.726409893
1687824000000,27695094.94705815
1687910400000,21378015.35699098
1687996800000,28907158.299600467
1688083200000,31268571.422430255
1688169600000,26154914.732571002
1688256000000,33775253.848481484
1688342400000,27990140.909918316
1688428800000,28640397.54593083
1688515200000,30309671.13015693
1688601600000,27125275.64271407
1688688000000,34013005.20105904
1688774400000,34114021.652351
1688860800000,33188679.628863256
1688947200000,29651100.59188326
1689033600000,26664260.808558695
1689120000000,28532856.624235082
1689206400000,23641573.302443318
1689292800000,27519041.337585144
1689379200000,27066441.91831429
1689465600000,29842687.815297596
1689552000000,26196758.55308894
